Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced_Cost_Estimate,US East (N. Virginia),NAT Gateway Estimate,Amazon Virtual Private Cloud (VPC),0,2336.85,28042.2,USD,Number of NAT Gateways (1)
Reduced_Cost_Estimate,US East (N. Virginia),Load Balancer Estimate,Application Load Balancer,0,852.05,10224.6,USD,Number of Application Load Balancers (2)
Reduced_Cost_Estimate,US East (N. Virginia),1 yr Savings plan EC2 Estimate,Amazon EC2,0,276.29,3315.48,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 3 Year No Upfront), Storage amount (30 GB), Instance type (m4.large)"
Reduced_Cost_Estimate,US East (N. Virginia),On Demand EC2 Estimate,Amazon EC2,0,35.2,422.4,USD,"Operating system (Linux), Quantity (2), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (m4.large)"
Reduced_Cost_Estimate,US East (N. Virginia),S3 and S3 IA Estimate,S3 Intelligent - Tiering,0,1190.91,14290.92,USD,S3 INT storage (50 TB per month)
Reduced_Cost_Estimate,US East (N. Virginia),S3 and S3 IA Estimate,Data Transfer,0,0,0,USD,"DT Inbound: Internet (40 TB per month), DT Outbound: Amazon CloudFront (40 TB per month)"
Reduced_Cost_Estimate,US East (N. Virginia),RDS MySQL Estimate,Amazon RDS for MySQL,0,1089.86,13078.32,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (3 TB), Quantity (2), Instance type (db.m1.large), Deployment option (Single-AZ), Pricing strategy (OnDemand), Additional backup storage (500 GB)"
Reduced_Cost_Estimate,US East (N. Virginia),CloudWatch Estimate,Amazon CloudWatch,0,167.35,2008.2,USD,"Number of Metrics (includes detailed and custom metrics) (10), GetMetricData: Number of metrics requested (100000), GetMetricWidgetImage: Number of metrics requested (100000), Number of other API requests (1000000), Standard Logs: Data Ingested (200 GB), Vended Logs: Data Ingested (100 GB)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
,,,,,,,,
Please see below the table that contains the configurationdifference between the initial cost and reduced cost to bring the cost to aroung $6500. The changes are made such that the impact to the infrastructure is minimal and still bringing the cost down when comapared to the intial cost.,,,,,,,,
Location,Service,Initial Cost,Reduced Cost,Increased Cost,,,,
N.Virginia,Load Balancer,Same Configuration with 2 LB and one NAT Gateway allowing 50 TB data per month,,,,,,
,VPC,,,,,,,
,EC2 - Savings plan,"12 instances, m4.large","8 instances, m4.large","16 instances, m5.xlarge",,,,
,EC2 - OnDemand Instances,"8 instances, m4.large","2 instances, m4.large","6 instances, m5.xlarge",,,,
,RDS,Multizone with 5TB backup,Single Zone with 500 GB backup,Multizone with 10 TB backup,,,,
,S3,"Standard 5 TB, IA 5 TB",Int Storage 50 TB,"Standard 50 TB, INT 20 TB",,,,
,Cloud Front,Same Configuration - With one SSL Certificate (Approx. $600),,,,,,
,Cloud Watch,"Standard Logs - 500 GB, Vended logs 250 GB",Standard Logs - 200 GB Vended Logs - 100 GB,"Standard Logs - 500 GB, Vended logs 250 GB",,,,
Oregon,RDS - Replica,None,,Multizone with 5 TB backup,,,,
,S3 Replica,,,"Standard 50 TB, INT 20 TB",,,,
,,,,,,,,
,,,,,,,,
The changes are as follows when compared to the initial configuration,,,,,,,,
EC2 Savings - 8 instances - Instance count reduced but retaining the same size,,,,,,,,
"EC2 onDemand - 2 instances, m4.large, Instance count reduced but retaining the same size to be used in case of higher loads",,,,,,,,
RDS - Single Zone with 500 GB backup - Changed from Multizone to Single Zone and back up size also reduced,,,,,,,,
S3 - Int Storage 50 TB - Used Intelligent tiering,,,,,,,,
Cloudwatch logs - Standard Logs - 200 GB Vended Logs - 100 GB - Reduced the size of log storage,,,,,,,,
,,,,,,,,
Add cloud front cost of approx $600 and the total cost will be around $6500,,,,,,,,
